Nr.;EAN;Beschreibung;Beschreibung 2;Hersteller Kurzbeschreibung;Lagerbestand;cena
15215571;4040658060281;REIFEN 600 / 50 R 22.5;164 J, TL, 382;ALLIANCE;2;4977,630952
15215600;8903635013112;REIFEN 560 / 60 R 22.5;161 E, TL, 380;ALLIANCE;1;2492,428571
15215630;7291050046473;REIFEN 600 / 55 R 22.5;162 E, TL, 380;ALLIANCE;1;3888,321429
15215642;7291050046497;REIFEN 620 / 40 R 22.5;155 D, TL, 380;ALLIANCE;7;3989,785714
15215650;7291050022330;REIFEN 650 / 50 R 22.5;163 E, TL, 380;ALLIANCE;1;4196,464286
15215690;8903635019107;REIFEN 600 / 55 R 26.5;165 E, TL, 380;ALLIANCE;;
15215700;8903635019114;REIFEN 650 / 55 R 26.5;167 E, TL, 380;ALLIANCE;3;4523,857143
15215703;7291050057004;REIFEN 650 / 55 R 26.5;178 D, TL, 380 INDUSTRIAL HD;ALLIANCE;4;4966,178571
15215707;7291050086417;REIFEN 650 / 55 R 26.5;177 D, TL, 390 INDUSTRIAL HD;ALLIANCE;;
15215736;7291050082990;REIFEN VF 650 / 60 R 26.5;174 D, TL, AGRIFLEX 389 +;ALLIANCE;4;5583,380952
15215737;7291050057486;REIFEN 650 / 65 R 26.5;181 D, TL, 380 INDUSTRIAL HD;ALLIANCE;2;7780,178571
15215739;4040658063176;REIFEN 650 / 65 R 26.5;174 D, TL, 380;ALLIANCE;2;5771,511905
15215740;7291050022552;REIFEN 650 / 60 R 26.5;173 D, TL, 380;ALLIANCE;1;5256,714286
15215742;7291050048668;REIFEN 650 / 65 R 26.5;174 D, TL, 380 INDUSTRIAL HD;ALLIANCE;2;5561,011905
15215743;7291050060554;REIFEN 650 / 65 R 26.5;165 D, TL, 388;ALLIANCE;2;5407,988095
15215800;7291050022873;REIFEN 750 / 60 R 30.5;181 D, TL, 390;ALLIANCE;4;7745,309524
15215801;7291050057363;REIFEN 750 / 60 R 30.5;190 D, TL, 390 INDUSTRIAL HD;ALLIANCE;2;8638,190476
15215808;8903635018896;REIFEN 800 / 45 R 30.5;176 D, TL, 885;ALLIANCE;;
15215825;7291050022859;REIFEN 28 LR 26;176 A8 / 173 B, TL, 390;ALLIANCE;8;6551,511905
